,Weapons,,,,,,,,,,,,,,,,
Club,,,,,,,,,,,,,,,,,
Dagger,,,,,,,,,,,,,,,,,
Greatclub,,,,,,,,,,,,,,,,,
Handaxe,,,,,,,,,,,,,,,,,
Javelin,,,,,,,,,,,,,,,,,
Light hammer,,,,,,,,,,,,,,,,,
Mace,,,,,,,,,,,,,,,,,
Quarterstaff,,,,,,,,,,,,,,,,,
Sickle,,,,,,,,,,,,,,,,,
Spear,,,,,,,,,,,,,,,,,
Light Crossbow,,,,,,,,,,,,,,,,,
Dart,,,,,,,,,,,,,,,,,
Shortbow,,,,,,,,,,,,,,,,,
Sling,,,,,,,,,,,,,,,,,
Battleaxe,,,,,,,,,,,,,,,,,
Flail,,,,,,,,,,,,,,,,,
Glaive,,,,,,,,,,,,,,,,,
Greataxe,,,,,,,,,,,,,,,,,
Greatsword,,,,,,,,,,,,,,,,,
Halberd,,,,,,,,,,,,,,,,,
Lance,,,,,,,,,,,,,,,,,
Longsword,,,,,,,,,,,,,,,,,
Maul,,,,,,,,,,,,,,,,,
Morningstar,,,,,,,,,,,,,,,,,
Pike,,,,,,,,,,,,,,,,,
Rapier,,,,,,,,,,,,,,,,,
Scimitar,,,,,,,,,,,,,,,,,
Shortsword,,,,,,,,,,,,,,,,,
Trident,,,,,,,,,,,,,,,,,
War pick,,,,,,,,,,,,,,,,,
Warhammer,,,,,,,,,,,,,,,,,
Whip,,,,,,,,,,,,,,,,,
Blowgun,,,,,,,,,,,,,,,,,
Hand Crossbow,,,,,,,,,,,,,,,,,
Heavy Crossbow,,,,,,,,,,,,,,,,,
Longbow,,,,,,,,,,,,,,,,,
Net,,,,,,,,,,,,,,,,,
,Armor,,,,,,,,,,,,,,,,
Padded armor,,,,,,,,,,,,,,,,,
Leather armor,,,,,,,,,,,,,,,,,
Studded leather armor,,,,,,,,,,,,,,,,,
Hide armor,,,,,,,,,,,,,,,,,
Chain shirt,,,,,,,,,,,,,,,,,
Scale mail,,,,,,,,,,,,,,,,,
Breastplate,,,,,,,,,,,,,,,,,
Half plate,,,,,,,,,,,,,,,,,
Ring mail,,,,,,,,,,,,,,,,,
Chain mail,,,,,,,,,,,,,,,,,
Splint Armor,,,,,,,,,,,,,,,,,
Plate Armor,,,,,,,,,,,,,,,,,
Shield,,,,,,,,,,,,,,,,,
,Trinkets,,,,,,,,,,,,,,,,
Belt,,,,,,,,,,,,,,,,,
Bracers,,,,,,,,,,,,,,,,,
Circlet,,,,,,,,,,,,,,,,,
Gauntlets,,,,,,,,,,,,,,,,,
Amulet,,,,,,,,,,,,,,,,,
Boots,,,,,,,,,,,,,,,,,
Hat,,,,,,,,,,,,,,,,,
Helm,,,,,,,,,,,,,,,,,
Scabbard,,,,,,,,,,,,,,,,,
Orb,,,,,,,,,,,,,,,,,
Cap,,,,,,,,,,,,,,,,,
Amulet,,,,,,,,,,,,,,,,,
Pendant,,,,,,,,,,,,,,,,,
Medallion,,,,,,,,,,,,,,,,,
Mask,,,,,,,,,,,,,,,,,
Cloak,,,,,,,,,,,,,,,,,
Ring,,,,,,,,,,,,,,,,,
Quiver,,,,,,,,,,,,,,,,,
Tiara,,,,,,,,,,,,,,,,,
Collar,,,,,,,,,,,,,,,,,
Gloves,,,,,,,,,,,,,,,,,
Candlestick,,,,,,,,,,,,,,,,,
Brooch,,,,,,,,,,,,,,,,,
Decorative Dagger,,,,,,,,,,,,,,,,,
Mirror,,,,,,,,,,,,,,,,,
Jade Pyramid,,,,,,,,,,,,,,,,,
Bronze Figurine,,,,,,,,,,,,,,,,,
Dragon Fang Pendant,,,,,,,,,,,,,,,,,
Pawn,,,,,,,,,,,,,,,,,
Puzzlebox,,,,,,,,,,,,,,,,,
Linen Handkerchief,,,,,,,,,,,,,,,,,
Iron Key,,,,,,,,,,,,,,,,,
Cloth Doll,,,,,,,,,,,,,,,,,
Oil Lamp,,,,,,,,,,,,,,,,,
Ale Stine,,,,,,,,,,,,,,,,,
Imp's Skull,,,,,,,,,,,,,,,,,
Walking Stick,,,,,,,,,,,,,,,,,
Ingot,,,,,,,,,,,,,,,,,
Meteor Stone Fragment,,,,,,,,,,,,,,,,,
Torch,,,,,,,,,,,,,,,,,
Silver Bell,,,,,,,,,,,,,,,,,
Coin,,,,,,,,,,,,,,,,,
Leather Pouch,,,,,,,,,,,,,,,,,
Quill Pen,,,,,,,,,,,,,,,,,
Scales,,,,,,,,,,,,,,,,,
Gaming Die,,,,,,,,,,,,,,,,,
Small Brass Cage,,,,,,,,,,,,,,,,,
Chime,,,,,,,,,,,,,,,,,
Iron Ring,,,,,,,,,,,,,,,,,
Amulet,,,,,,,,,,,,,,,,,
Emblem,,,,,,,,,,,,,,,,,
Hourglass,,,,,,,,,,,,,,,,,
Padlock,,,,,,,,,,,,,,,,,
Magnifying glass,,,,,,,,,,,,,,,,,
Manacles,,,,,,,,,,,,,,,,,
Perfume Vial,,,,,,,,,,,,,,,,,
Miner's Pick,,,,,,,,,,,,,,,,,
Pouch,,,,,,,,,,,,,,,,,
Robes,,,,,,,,,,,,,,,,,
Shovel,,,,,,,,,,,,,,,,,
Signal Whistle,,,,,,,,,,,,,,,,,
Spyglass,,,,,,,,,,,,,,,,,
Vial,,,,,,,,,,,,,,,,,
Waterskin,,,,,,,,,,,,,,,,,
Abacus,,,,,,,,,,,,,,,,,
Crystal,,,,,,,,,,,,,,,,,
Staff,,,,,,,,,,,,,,,,,
Wand,,,,,,,,,,,,,,,,,
Book,,,,,,,,,,,,,,,,,
Glass Bottle,,,,,,,,,,,,,,,,,
Crowbar,,,,,,,,,,,,,,,,,
Totem,,,,,,,,,,,,,,,,,
Flask,,,,,,,,,,,,,,,,,
Tankard,,,,,,,,,,,,,,,,,
Instrument,,,,,,,,,,,,,,,,,
Playing Card Set,,,,,,,,,,,,,,,,,